TIME,CH1
-2.00E-04,0
-2.00E-04,0.008
-2.00E-04,0.004
-2.00E-04,0
-2.00E-04,0.004
-2.00E-04,0
-2.00E-04,0
-2.00E-04,0.004
-2.00E-04,0.004
-2.00E-04,0
-2.00E-04,0.004
-2.00E-04,0
-2.00E-04,0
-1.99E-04,0
-1.99E-04,0.004
-1.99E-04,0.004
-1.99E-04,0
-1.99E-04,0.008
-1.99E-04,0.004
-1.99E-04,0
-1.99E-04,0
-1.99E-04,0.004
-1.99E-04,0.004
-1.99E-04,0.004
-1.99E-04,0
-1.99E-04,0.004
-1.99E-04,0.008
-1.99E-04,0.004
-1.99E-04,0
-1.99E-04,0.004
-1.99E-04,0.004
-1.99E-04,0
-1.99E-04,0.004
-1.99E-04,0.004
-1.99E-04,0
-1.99E-04,0.004
-1.99E-04,0
-1.99E-04,0
-1.98E-04,0.004
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0.004
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0.004
-1.98E-04,0.004
-1.98E-04,0.008
-1.98E-04,0.008
-1.98E-04,0.008
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0.004
-1.98E-04,0
-1.98E-04,0
-1.98E-04,0.004
-1.98E-04,0.004
-1.98E-04,0
-1.98E-04,0.004
-1.97E-04,0
-1.97E-04,0.008
-1.97E-04,0
-1.97E-04,0.004
-1.97E-04,0
-1.97E-04,0.004
-1.97E-04,0
-1.97E-04,0
-1.97E-04,0
-1.97E-04,0
-1.97E-04,0.004
-1.97E-04,0.004
-1.97E-04,0
-1.97E-04,0
-1.97E-04,0
-1.97E-04,0
-1.97E-04,0.008
-1.97E-04,0
-1.97E-04,0
-1.97E-04,0.004
-1.97E-04,0.004
-1.97E-04,0.004
-1.97E-04,0
-1.97E-04,0.004
-1.97E-04,0
-1.96E-04,0.004
-1.96E-04,0
-1.96E-04,0
-1.96E-04,0
-1.96E-04,0.004
-1.96E-04,0.004
-1.96E-04,0.008
-1.96E-04,0.004
-1.96E-04,0.008
-1.96E-04,0.004
-1.96E-04,0.004
-1.96E-04,0.004
-1.96E-04,0
-1.96E-04,0
-1.96E-04,0
-1.96E-04,0.004
-1.96E-04,0.004
-1.96E-04,0.004
-1.96E-04,0
-1.96E-04,0.004
-1.96E-04,0.004
-1.96E-04,0.004
-1.96E-04,0
-1.96E-04,0
-1.96E-04,0
-1.95E-04,0.004
-1.95E-04,0.004
-1.95E-04,0
-1.95E-04,0.004
-1.95E-04,0.004
-1.95E-04,0
-1.95E-04,0.004
-1.95E-04,0.004
