TIME,CH1
-2.0000e-04,-0.008
-1.9996e-04,-0.008
-1.9992e-04,-0.016
-1.9988e-04,0
-1.9984e-04,0
-1.9980e-04,0
-1.9976e-04,0
-1.9972e-04,0
-1.9968e-04,0.008
-1.9964e-04,0.008
-1.9960e-04,0.016
-1.9956e-04,0.008
-1.9952e-04,0.008
-1.9948e-04,0.008
-1.9944e-04,0.016
-1.9940e-04,0
-1.9936e-04,0.008
-1.9932e-04,0
-1.9928e-04,0
-1.9924e-04,0
-1.9920e-04,0
-1.9916e-04,-0.008
-1.9912e-04,0
-1.9908e-04,0
-1.9904e-04,-0.016
-1.9900e-04,-0.016
-1.9896e-04,-0.008
-1.9892e-04,-0.008
-1.9888e-04,-0.016
-1.9884e-04,-0.016
-1.9880e-04,0
-1.9876e-04,-0.008
-1.9872e-04,0
-1.9868e-04,0
-1.9864e-04,0
-1.9860e-04,0
-1.9856e-04,0.008
-1.9852e-04,0.008
-1.9848e-04,0
-1.9844e-04,0
-1.9840e-04,0.008
-1.9836e-04,0
-1.9832e-04,0.008
-1.9828e-04,0.008
-1.9824e-04,0.008
-1.9820e-04,0.008
-1.9816e-04,0.008
-1.9812e-04,0
-1.9808e-04,0
-1.9804e-04,0
-1.9800e-04,-0.008
-1.9796e-04,0
-1.9792e-04,-0.016
-1.9788e-04,-0.008
-1.9784e-04,0
-1.9780e-04,-0.008
-1.9776e-04,-0.008
-1.9772e-04,-0.008
-1.9768e-04,0
-1.9764e-04,-0.008
-1.9760e-04,-0.008
-1.9756e-04,-0.008
-1.9752e-04,0
-1.9748e-04,0
-1.9744e-04,0.008
-1.9740e-04,0
-1.9736e-04,0.008
-1.9732e-04,0.016
-1.9728e-04,0
-1.9724e-04,0.008
-1.9720e-04,0
-1.9716e-04,0.008
-1.9712e-04,0
-1.9708e-04,0.008
-1.9704e-04,0
-1.9700e-04,0.008
-1.9696e-04,-0.008
-1.9692e-04,0
-1.9688e-04,0
-1.9684e-04,-0.008
-1.9680e-04,0
-1.9676e-04,-0.008
-1.9672e-04,-0.008
-1.9668e-04,-0.016
-1.9664e-04,0
-1.9660e-04,-0.016
-1.9656e-04,-0.008
