TIME,CH1
-1.9998e-04,0
-1.9994e-04,0
-1.9990e-04,0
-1.9986e-04,0
-1.9982e-04,0
-1.9978e-04,0
-1.9974e-04,0.004
-1.9970e-04,0.004
-1.9966e-04,0
-1.9962e-04,0
-1.9958e-04,0
-1.9954e-04,0.004
-1.9950e-04,0
-1.9946e-04,0
-1.9942e-04,0
-1.9938e-04,0
-1.9934e-04,0
-1.9930e-04,0.004
-1.9926e-04,0
-1.9922e-04,0
-1.9918e-04,0
-1.9914e-04,0.004
-1.9910e-04,0
-1.9906e-04,0
-1.9902e-04,0
-1.9898e-04,0
-1.9894e-04,0
-1.9890e-04,0
-1.9886e-04,0
-1.9882e-04,0
-1.9878e-04,0
-1.9874e-04,0
-1.9870e-04,0
-1.9866e-04,0
-1.9862e-04,0.004
-1.9858e-04,0
-1.9854e-04,0
-1.9850e-04,0
-1.9846e-04,0
-1.9842e-04,0.004
-1.9838e-04,0.004
-1.9834e-04,0.004
-1.9830e-04,0
-1.9826e-04,0.004
-1.9822e-04,0
-1.9818e-04,0.004
-1.9814e-04,0
-1.9810e-04,0
-1.9806e-04,0
-1.9802e-04,0.004
-1.9798e-04,0
-1.9794e-04,0
-1.9790e-04,0.004
-1.9786e-04,0
-1.9782e-04,0.004
-1.9778e-04,0
-1.9774e-04,0.004
-1.9770e-04,0
-1.9766e-04,0
-1.9762e-04,0
-1.9758e-04,0.004
-1.9754e-04,0
-1.9750e-04,0
-1.9746e-04,0
-1.9742e-04,0.004
-1.9738e-04,0
-1.9734e-04,0
-1.9730e-04,0
-1.9726e-04,0.004
-1.9722e-04,0
-1.9718e-04,0.004
-1.9714e-04,0
-1.9710e-04,0
-1.9706e-04,0
-1.9702e-04,0
-1.9698e-04,0.004
-1.9694e-04,0
-1.9690e-04,0
-1.9686e-04,0
-1.9682e-04,0.004
-1.9678e-04,0.004
-1.9674e-04,0
-1.9670e-04,0.004
-1.9666e-04,0.004
-1.9662e-04,0
-1.9658e-04,0
-1.9654e-04,0
-1.9650e-04,0.004
-1.9646e-04,0
-1.9642e-04,0.004
-1.9638e-04,0.004
-1.9634e-04,0
-1.9630e-04,0
-1.9626e-04,0
-1.9622e-04,0.004
-1.9618e-04,0
-1.9614e-04,0.004
-1.9610e-04,0
-1.9606e-04,0.004
-1.9602e-04,0
-1.9598e-04,0.004
-1.9594e-04,0.004
-1.9590e-04,0
-1.9586e-04,0
-1.9582e-04,0.004
-1.9578e-04,0
-1.9574e-04,0
-1.9570e-04,0
-1.9566e-04,0.004
-1.9562e-04,0.004
-1.9558e-04,0
-1.9554e-04,0.004
-1.9550e-04,0
-1.9546e-04,0
-1.9542e-04,0
-1.9538e-04,0
-1.9534e-04,0
-1.9530e-04,0.004
-1.9526e-04,0
-1.9522e-04,0
-1.9518e-04,0.004
-1.9514e-04,0
-1.9510e-04,0
-1.9506e-04,0
-1.9502e-04,0
-1.9498e-04,0
-1.9494e-04,0.004
-1.9490e-04,0
-1.9486e-04,0
-1.9482e-04,0
-1.9478e-04,0
-1.9474e-04,0
-1.9470e-04,0
-1.9466e-04,0
-1.9462e-04,0
-1.9458e-04,0.004
-1.9454e-04,0
-1.9450e-04,0
-1.9446e-04,0
-1.9442e-04,0
-1.9438e-04,0
-1.9434e-04,0.004
-1.9430e-04,0
-1.9426e-04,0
-1.9422e-04,0
-1.9418e-04,0
-1.9414e-04,0.004
-1.9410e-04,0
-1.9406e-04,0
-1.9402e-04,0
-1.9398e-04,0
-1.9394e-04,0
-1.9390e-04,0
-1.9386e-04,-0.004
-1.9382e-04,0
-1.9378e-04,0.004
-1.9374e-04,0
-1.9370e-04,0.004
-1.9366e-04,0
-1.9362e-04,0
-1.9358e-04,0
-1.9354e-04,0
-1.9350e-04,0
-1.9346e-04,0
-1.9342e-04,0
-1.9338e-04,0
-1.9334e-04,0
-1.9330e-04,0
-1.9326e-04,0
-1.9322e-04,0.004
-1.9318e-04,0.004
-1.9314e-04,0
-1.9310e-04,0
-1.9306e-04,0
-1.9302e-04,0.004
-1.9298e-04,0
-1.9294e-04,0.004
-1.9290e-04,0
-1.9286e-04,0
-1.9282e-04,0
-1.9278e-04,0
-1.9274e-04,0
-1.9270e-04,0
-1.9266e-04,0
-1.9262e-04,0
-1.9258e-04,0.004
-1.9254e-04,0
-1.9250e-04,0
-1.9246e-04,0
-1.9242e-04,0
-1.9238e-04,0
-1.9234e-04,0.004
-1.9230e-04,0
-1.9226e-04,0
-1.9222e-04,0
-1.9218e-04,0
-1.9214e-04,0.004
-1.9210e-04,0
-1.9206e-04,0.004
-1.9202e-04,0
-1.9198e-04,0
-1.9194e-04,0
-1.9190e-04,0
-1.9186e-04,0
-1.9182e-04,-0.004
-1.9178e-04,0
-1.9174e-04,0
-1.9170e-04,0
-1.9166e-04,0
-1.9162e-04,0
-1.9158e-04,0
-1.9154e-04,0
-1.9150e-04,0
-1.9146e-04,0
-1.9142e-04,0
-1.9138e-04,0
-1.9134e-04,0
-1.9130e-04,0.004
-1.9126e-04,0.004
-1.9122e-04,0
-1.9118e-04,0.004
-1.9114e-04,0
-1.9110e-04,0
-1.9106e-04,0
-1.9102e-04,0
-1.9098e-04,0
-1.9094e-04,0
-1.9090e-04,0
-1.9086e-04,0
-1.9082e-04,0
-1.9078e-04,0
-1.9074e-04,0
-1.9070e-04,0
-1.9066e-04,0
-1.9062e-04,0.004
-1.9058e-04,0.004
-1.9054e-04,0
-1.9050e-04,0.004
-1.9046e-04,0
-1.9042e-04,0
-1.9038e-04,0
-1.9034e-04,0
-1.9030e-04,0
-1.9026e-04,0
-1.9022e-04,0
-1.9018e-04,0
-1.9014e-04,0
-1.9010e-04,0
-1.9006e-04,0.004
-1.9002e-04,0
-1.8998e-04,0.004
-1.8994e-04,0
-1.8990e-04,0
-1.8986e-04,0
-1.8982e-04,0
-1.8978e-04,0
-1.8974e-04,0.004
-1.8970e-04,0
-1.8966e-04,-0.004
-1.8962e-04,0
-1.8958e-04,0
-1.8954e-04,0
-1.8950e-04,0
-1.8946e-04,0
-1.8942e-04,0
-1.8938e-04,0
-1.8934e-04,0
-1.8930e-04,0
-1.8926e-04,0
-1.8922e-04,0
-1.8918e-04,0
-1.8914e-04,0
-1.8910e-04,0
-1.8906e-04,0
-1.8902e-04,0
-1.8898e-04,0
-1.8894e-04,0
-1.8890e-04,0.004
-1.8886e-04,0
-1.8882e-04,0
-1.8878e-04,0
-1.8874e-04,0
-1.8870e-04,0
-1.8866e-04,0
-1.8862e-04,0
-1.8858e-04,0
-1.8854e-04,0
-1.8850e-04,0
-1.8846e-04,0
-1.8842e-04,0
-1.8838e-04,0
-1.8834e-04,0
-1.8830e-04,0
-1.8826e-04,0.004
-1.8822e-04,-0.004
-1.8818e-04,0
-1.8814e-04,0.004
-1.8810e-04,0
-1.8806e-04,0.004
-1.8802e-04,-0.004
-1.8798e-04,0.004
-1.8794e-04,-0.004
-1.8790e-04,0.004
-1.8786e-04,0
-1.8782e-04,0.004
-1.8778e-04,0
-1.8774e-04,-0.004
-1.8770e-04,0
-1.8766e-04,-0.004
-1.8762e-04,0.004
-1.8758e-04,-0.004
-1.8754e-04,0.004
-1.8750e-04,0
-1.8746e-04,0.004
-1.8742e-04,0
-1.8738e-04,-0.004
-1.8734e-04,0
-1.8730e-04,0
-1.8726e-04,0
-1.8722e-04,0
-1.8718e-04,0
-1.8714e-04,0
-1.8710e-04,0.004
-1.8706e-04,0
-1.8702e-04,0
-1.8698e-04,0
-1.8694e-04,0
-1.8690e-04,0
-1.8686e-04,0
-1.8682e-04,0
-1.8678e-04,0
-1.8674e-04,0
-1.8670e-04,0
-1.8666e-04,0
-1.8662e-04,0
-1.8658e-04,0
-1.8654e-04,0.004
-1.8650e-04,0
-1.8646e-04,0
-1.8642e-04,0
-1.8638e-04,0
-1.8634e-04,0
-1.8630e-04,0.004
-1.8626e-04,0
-1.8622e-04,0
-1.8618e-04,0
-1.8614e-04,0
-1.8610e-04,0
-1.8606e-04,0
-1.8602e-04,0
-1.8598e-04,0
-1.8594e-04,0
-1.8590e-04,0
-1.8586e-04,0
-1.8582e-04,0
-1.8578e-04,0
-1.8574e-04,0
-1.8570e-04,0
-1.8566e-04,0
-1.8562e-04,0
-1.8558e-04,0
-1.8554e-04,0
-1.8550e-04,0.004
-1.8546e-04,0
-1.8542e-04,0
-1.8538e-04,0
-1.8534e-04,0
-1.8530e-04,-0.004
-1.8526e-04,0
-1.8522e-04,0
-1.8518e-04,0
-1.8514e-04,0.004
-1.8510e-04,0
-1.8506e-04,0
-1.8502e-04,0
-1.8498e-04,0.004
-1.8494e-04,0
-1.8490e-04,0
-1.8486e-04,0
-1.8482e-04,0.004
-1.8478e-04,0.004
-1.8474e-04,0
-1.8470e-04,0.004
-1.8466e-04,0
-1.8462e-04,0.004
-1.8458e-04,0
-1.8454e-04,0.004
-1.8450e-04,0
-1.8446e-04,0
-1.8442e-04,0
-1.8438e-04,0
-1.8434e-04,0.004
-1.8430e-04,0
-1.8426e-04,0
-1.8422e-04,0.004
-1.8418e-04,0.004
-1.8414e-04,0
-1.8410e-04,0
-1.8406e-04,0.004
-1.8402e-04,0
-1.8398e-04,0
-1.8394e-04,0
-1.8390e-04,0.004
-1.8386e-04,0
-1.8382e-04,0
-1.8378e-04,0
-1.8374e-04,0
-1.8370e-04,0
-1.8366e-04,0
-1.8362e-04,0
-1.8358e-04,0.004
-1.8354e-04,0
-1.8350e-04,0
-1.8346e-04,0
-1.8342e-04,0
-1.8338e-04,0
-1.8334e-04,0
-1.8330e-04,0
-1.8326e-04,0
-1.8322e-04,0
-1.8318e-04,0
-1.8314e-04,0
-1.8310e-04,0
-1.8306e-04,0
